,f (Hz),spec (norm.),phase (rad),shear (Hz)
83,116077864293659.62,0.025260710524690012,19.92908195705501,1000000000000
84,116139043381535.03,0.026054192360211007,19.76749629880413,1000000000000
85,116200222469410.45,0.02686909025823172,19.606513165652487,1000000000000
86,116261401557285.88,0.02770585793198261,19.446133323215467,1000000000000
87,116322580645161.3,0.028564954555485366,19.2863575354617,1000000000000
88,116383759733036.7,0.029446844690096674,19.127186564721594,1000000000000
89,116444938820912.12,0.03035199820519991,18.968621171695588,1000000000000
90,116506117908787.55,0.03128089019292261,18.810662115462858,1000000000000
91,116567296996662.95,0.032234000876767234,18.653310153489606,1000000000000
92,116628476084538.38,0.03321181551403908,18.496566041637394,1000000000000
93,116689655172413.8,0.03421482429195682,18.340430534171805,1000000000000
94,116750834260289.2,0.03524352221734004,18.18490438377076,1000000000000
